time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-06-04T02:59:29.237Z,-58.8196,-25.6272,46.57,5.6,mww,,69,7.525,0.68,us,us7000heu8,2022-06-04T03:21:52.732Z,South Sandwich Islands region,earthquake,10.8,6.5,0.098,10,reviewed,us,us
2022-06-04T02:49:11.657Z,60.4377,-152.289,77.4,1.8,ml,,,,0.65,ak,ak02274ds6qj,2022-06-04T02:51:57.844Z,"54 km WNW of Clam Gulch, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-06-04T02:38:47.602Z,58.7914,-150.8663,60.2,2,ml,,,,0.85,ak,ak02274dpwmw,2022-06-04T02:52:10.424Z,"83 km SE of Port Graham, Alaska",earthquake,,5.6,,,automatic,ak,ak
2022-06-04T02:23:52.180Z,33.2366667,-116.6665,8.85,1.89,ml,70,20,0.04074,0.23,ci,ci40033607,2022-06-04T02:35:08.850Z,"6km SSW of Warner Springs, CA",earthquake,0.22,0.6,0.206,26,automatic,ci,ci
2022-06-04T02:19:37.532Z,54.8526,-159.588,42.71,4.1,mb,,115,0.021,0.7,us,us7000heu1,2022-06-04T02:29:09.040Z,"79 km SE of Sand Point, Alaska",earthquake,8.2,5,0.174,9,reviewed,us,us
2022-06-04T01:49:08.278Z,32.702,48.6113,10,4.4,mb,,133,3.403,1.02,us,us7000hety,2022-06-04T02:06:21.040Z,"40 km NNE of Shahrak-e Kūlūrī, Iran",earthquake,10.3,1.9,0.092,36,reviewed,us,us
2022-06-04T01:43:51.055Z,63.2608,-150.9235,0,1.2,ml,,,,1.49,ak,ak02274d5jvo,2022-06-04T01:51:23.404Z,"50 km SE of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-06-04T01:39:00.335Z,25.1608,-109.8153,10,4.6,mb,,131,1.473,0.8,us,us7000hetv,2022-06-04T01:55:09.312Z,"83 km SW of Campo Pesquero el Colorado, Mexico",earthquake,6.9,1.9,0.038,211,reviewed,us,us
2022-06-04T01:37:50.980Z,35.6013333,-117.4138333,4.44,1.13,ml,13,102,0.04211,0.26,ci,ci40033599,2022-06-04T01:41:23.221Z,"18km S of Trona, CA",earthquake,0.66,0.86,0.145,14,automatic,ci,ci
2022-06-04T01:31:32.762Z,63.2669,-150.9007,0,1.3,ml,,,,1.02,ak,ak02274d2xvg,2022-06-04T01:34:00.255Z,"51 km SE of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-06-04T01:28:03.197Z,28.8831,47.9465,10,4.4,mb,,144,6.496,0.79,us,us7000hets,2022-06-04T03:21:13.301Z,"25 km SSW of Al Aḩmadī, Kuwait",earthquake,9.4,1.9,0.092,36,reviewed,us,us
2022-06-04T01:24:17.700Z,36.9029999,-121.0358353,4.43,1.38,md,5,195,0.1228,0.12,nc,nc73740421,2022-06-04T01:41:21.093Z,"24km SW of Los Banos, CA",earthquake,1.83,11.52,0.36,6,automatic,nc,nc
2022-06-04T01:08:13.776Z,63.6033,-150.6865,4.9,1.3,ml,,,,0.86,ak,ak02274cxyxt,2022-06-04T01:24:58.713Z,"51 km E of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-06-04T01:04:30.562Z,25.0744,-109.6891,10,4.2,mb,,128,1.401,1.33,us,us7000heth,2022-06-04T01:25:27.040Z,"84 km SSW of Campo Pesquero el Colorado, Mexico",earthquake,6.9,1.9,0.064,69,reviewed,us,us
2022-06-04T00:54:14.859Z,63.2806,-151.0355,0,2.8,ml,,,,0.91,ak,ak02274cmedu,2022-06-04T01:10:05.040Z,"44 km SE of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-06-04T00:20:32.160Z,33.3486667,-116.3466667,9.69,1.13,ml,43,61,0.0339,0.22,ci,ci40033583,2022-06-04T00:24:03.586Z,"11km NNE of Borrego Springs, CA",earthquake,0.29,0.57,0.18,27,automatic,ci,ci
2022-06-04T00:15:58.210Z,34.9381667,-116.775,2.07,1.86,ml,11,77,0.1825,0.18,ci,ci40033567,2022-06-04T00:19:33.564Z,"23km E of Barstow, CA",earthquake,0.38,1.84,0.102,26,automatic,ci,ci
2022-06-04T00:13:32.520Z,19.20083333,-155.411,32.28,1.47,md,16,175,,0.11,hv,hv73032922,2022-06-04T03:07:12.560Z,"7 km E of P?hala, Hawaii",earthquake,0.64,0.89,0.026377346,7,reviewed,hv,hv
2022-06-03T23:29:19.750Z,34.426,-118.6251667,7.26,1.79,ml,54,26,0.03043,0.24,ci,ci40033543,2022-06-04T00:09:57.550Z,"6km WSW of Valencia, CA",earthquake,0.24,0.45,0.123,25,reviewed,ci,ci
2022-06-03T23:17:36.960Z,34.4271667,-118.6285,7.05,1.89,ml,46,29,0.02778,0.22,ci,ci40033535,2022-06-04T00:00:43.240Z,"6km WSW of Valencia, CA",earthquake,0.23,0.44,0.147,24,reviewed,ci,ci
2022-06-03T22:58:58.296Z,39.8344,27.9818,10,4.3,mb,,36,1.414,0.8,us,us7000hesw,2022-06-03T23:33:52.277Z,"17 km WSW of Susurluk, Turkey",earthquake,4.8,1.9,0.094,32,reviewed,us,us
2022-06-03T22:45:18.193Z,51.8521,-177.8888,5.2,1.3,ml,,,,0.24,ak,ak0227324n8j,2022-06-03T23:29:13.812Z,"86 km W of Adak, Alaska",earthquake,,11.4,,,reviewed,ak,ak
2022-06-03T22:43:21.130Z,33.9736667,-116.7983333,17.59,1,ml,25,63,0.06183,0.11,ci,ci40033503,2022-06-03T23:14:18.644Z,"6km N of Cabazon, CA",earthquake,0.23,0.51,0.101,18,reviewed,ci,ci
2022-06-03T22:13:30.082Z,39.8707,27.9867,10,4,mb,,60,1.447,0.67,us,us7000hesn,2022-06-03T23:29:53.317Z,"15 km WSW of Susurluk, Turkey",earthquake,5.5,1.9,0.149,12,reviewed,us,us
2022-06-03T22:09:29.490Z,38.4525,-119.5025,2.85,2.1,md,13,110,0.06451,0.06,nc,nc73740396,2022-06-04T03:12:10.585Z,"7km SSW of Walker, CA",earthquake,0.38,1.09,0.218,14,reviewed,nc,nc
2022-06-03T21:54:03.200Z,19.14016724,-155.3880005,32.45000076,1.84000003,md,35,180,,0.100000001,hv,hv73032802,2022-06-03T21:57:11.610Z,"11 km SE of P?hala, Hawaii",earthquake,0.64,0.889999986,1.83000004,6,automatic,hv,hv
2022-06-03T21:50:05.615Z,31.6068,-103.9706,1.21,2.5,ml,,73,0.251,0.66,us,us7000hesj,2022-06-03T22:01:00.040Z,"36 km NNW of Toyah, Texas",earthquake,1.2,1.8,0.045,66,reviewed,us,us
2022-06-03T21:47:59.411Z,57.3975,-152.7423,15,1.6,ml,,,,1.01,ak,ak022731jqzp,2022-06-03T22:03:29.834Z,"32 km S of Womens Bay, Alaska",earthquake,,1.4,,,automatic,ak,ak
2022-06-03T21:35:26.021Z,38.12,-118.0399,5.1,1.5,ml,8,141.42,0.066,0.157,nn,nn00840263,2022-06-03T21:39:19.921Z,"30 km SSE of Mina, Nevada",earthquake,,0.9,0.37,6,automatic,nn,nn
2022-06-03T21:31:14.190Z,32.829,-115.6096667,5.94,1.4,ml,17,101,0.08319,0.18,ci,ci40033439,2022-06-03T22:13:43.246Z,"4km WSW of Imperial, CA",earthquake,0.3,0.59,0.195,10,reviewed,ci,ci
2022-06-03T20:58:50.488Z,14.1165,-91.4227,80.55,4.7,mwr,,121,0.986,0.99,us,us7000hery,2022-06-03T23:58:44.544Z,Guatemala,earthquake,6.5,6.2,0.078,16,reviewed,us,us
2022-06-03T20:49:47.800Z,44.3211667,-115.1993333,10.45,2.58,ml,15,84,0.947,0.26,mb,mb80547799,2022-06-03T21:38:55.430Z,"23 km WNW of Stanley, Idaho",earthquake,0.54,1.2,0.142,15,reviewed,mb,mb
2022-06-03T20:46:03.530Z,40.2966667,-124.5428333,16.76,2.12,md,18,281,0.1534,0.08,nc,nc73740376,2022-06-04T02:57:10.499Z,"22km W of Petrolia, CA",earthquake,0.78,0.41,0.121,10,reviewed,nc,nc
2022-06-03T20:42:25.897Z,63.2943,-145.082,11.1,1.1,ml,,,,1.38,ak,ak022730x67r,2022-06-03T20:46:01.827Z,"35 km NE of Paxson, Alaska",earthquake,,0.2,,,automatic,ak,ak
